NOME DA ESTAÇÃO;DATA;CHUVA;VAZAO
58974000;23/11/1934;SD;593,1223
58974000;24/11/1934;SD;540,1911
58974000;25/11/1934;SD;476,1909
58974000;26/11/1934;SD;480,9253
58974000;27/11/1934;SD;430,5342
58974000;28/11/1934;SD;355,8405
58974000;29/11/1934;SD;430,5342
58974000;30/11/1934;SD;443,9118
58974000;01/12/1934;SD;495,3154
58974000;02/12/1934;SD;649,3808
58974000;03/12/1934;SD;1128,8551
58974000;04/12/1934;SD;1273,8268
58974000;05/12/1934;SD;1182,7081
58974000;06/12/1934;SD;1063,8702
58974000;07/12/1934;SD;878,353
58974000;08/12/1934;SD;709,066
58974000;09/12/1934;SD;702,9405
58974000;10/12/1934;SD;759,3482
58974000;11/12/1934;SD;649,3808
58974000;12/12/1934;SD;632,148
58974000;13/12/1934;SD;550,5159
58974000;14/12/1934;SD;872,7584
58974000;15/12/1934;SD;1238,2472
58974000;16/12/1934;SD;1493,7024
58974000;17/12/1934;SD;1224,2029
58974000;18/12/1934;SD;1196,4338
58974000;19/12/1934;SD;1162,317
58974000;20/12/1934;SD;1203,3363
58974000;21/12/1934;SD;1203,3363
58974000;22/12/1934;SD;1650,667
58974000;23/12/1934;SD;2914,2683
58974000;24/12/1934;SD;2815,6274
58974000;25/12/1934;SD;2312,6482
58974000;26/12/1934;SD;1818,2599
58974000;27/12/1934;SD;1542,1431
58974000;28/12/1934;SD;1369,5094
58974000;29/12/1934;SD;1469,8672
58974000;30/12/1934;SD;2270,1504
58974000;31/12/1934;SD;2366,5122
58974000;01/01/1935;SD;2344,8674
58974000;02/01/1935;SD;1958,3062
58974000;03/01/1935;SD;1719,9169
58974000;04/01/1935;SD;1882,753
58974000;05/01/1935;SD;2454,4233
58974000;06/01/1935;SD;2145,787
58974000;07/01/1935;SD;1773,1064
58974000;08/01/1935;SD;1509,7349
58974000;09/01/1935;SD;1558,5197
58974000;10/01/1935;SD;1967,8901
58974000;11/01/1935;SD;1782,0767
58974000;12/01/1935;SD;1446,2869
58974000;13/01/1935;SD;1252,3984
58974000;14/01/1935;SD;1109,0896
